title,age_rating,duration_min,genre,budget,revenue,platform
Cult of Chucky,R,90.0,Horror,193543017.25,643992183.79,Netflix
Cutie and the Boxer,R,82.0,Documentary and Educational,114904601.66,381013749.84,Netflix
Daagdi Chaawl,13+,118.0,"Action, Drama, International",17315057.08,54659951.74,Netflix
Dabbe 6: The Return,18+,153.0,"Horror, International",180238880.76,599501193.54,Netflix
Dad,PG,117.0,Drama,270818579.56,902413035.78,Netflix
Daddy Day Care,PG,93.0,"Comedy, Family and Children",115581394.42,383277044.41,Netflix
Daddy Issues,18+,82.0,"Diversity, Drama",65683500.51,216411144.35,Netflix
Daemonium,NR,115.0,"Action, Horror, International",133330626.43,442633088.2,Netflix
Daffedar,13+,151.0,"Drama, International",15460450.6,48457874.78,Netflix
Dagh Ujala,18+,103.0,"Drama, International",246325787.76,820505535.72,Netflix
Dallas Buyers Club,R,117.0,"Diversity, Drama",248075902.47,826358176.87,Netflix
Dance Academy: The Comeback,16+,100.0,"Drama, International",176812138.57,588041663.38,Netflix
Dancing Quietly,18+,70.0,"Drama, International",106577763.79,353167578.65,Netflix
Danny Says,18+,103.0,"Documentary and Educational, Musicals",240135225.97,799803386.11,Netflix
Dante's Peak,13+,108.0,Action,166851420.41,554731556.09,Netflix
Dare to Be Wild,PG,100.0,Drama,247953760.26,825949715.32,Netflix
Dark Chocolate (Bengali Version),18+,91.0,"Drama, International, Thriller",189806178.98,631495646.7,Netflix
Dark Crimes,R,93.0,"Drama, Thriller",235537236.49,784427032.67,Netflix
Dark Places,R,113.0,"Drama, International, Thriller",179970334.97,598603136.92,Netflix
Darna Mana Hai,18+,116.0,"Horror, International, Thriller",124828179.4,414199654.11,Netflix
Darra,13+,121.0,"Drama, International",287425812.12,957950065.34,Netflix
Daughters of the Dust,NR,112.0,"Adventure, Drama",162793033.64,541159713.5,Netflix
Dayveon,18+,76.0,Drama,181921766.04,605129009.59,Netflix
De Film van Dylan Haegens,PG,81.0,"Comedy, International",66925804.19,220565590.65,Netflix
De Palma,R,110.0,Documentary and Educational,188069586.04,625688224.35,Netflix
Dead in a Week (Or Your Money Back),18+,90.0,Comedy,171910687.2,571650488.72,Netflix
Deadline: Sirf 24 Ghante,13+,97.0,"Drama, International, Thriller",56266680.99,184919914.11,Netflix
Deadly Scholars,13+,86.0,"Drama, Thriller",18816542.11,59681138.64,Netflix
Dean,13+,94.0,"Comedy, Drama",181703436.59,604398883.78,Netflix
Dear Dad,13+,83.0,"Comedy, Drama",229343988.54,763715900.12,Netflix
Dear Dracula,PG,43.0,"Comedy, Family and Children",157497009.91,523449030.78,Netflix
Dear Santa,PG,92.0,"Comedy, Drama",68805014.97,226849948.06,Netflix
Death at a Funeral,R,93.0,Comedy,200290071.03,666555324.5,Netflix
Death House,R,88.0,Horror,24951612.26,80197716.04,Netflix
Deathgrip,18+,53.0,"International, Sports",133108277.74,441889521.43,Netflix
Deewangee,18+,156.0,"International, Thriller",49846660.76,163450421.72,Netflix
Defying the Nazis: The Sharps' War,13+,79.0,Documentary and Educational,56153256.27,184540605.15,Netflix
Delirium,R,96.0,"Horror, Thriller",61485890.8,202373719.76,Netflix
Democrats,NR,99.0,"Documentary and Educational, International",116625410.06,386768386.34,Netflix
Den of Thieves,R,140.0,Action,16293911.48,51245090.6,Netflix
Denis Leary: No Cure For Cancer,R,62.0,Comedy,119940238.84,397853661.59,Netflix
Desolate,18+,88.0,"Drama, Thriller",154000526.69,511756276.37,Netflix
Desolation,18+,76.0,"Horror, Thriller",145504991.2,483345955.54,Netflix
Detention Letter,13+,99.0,"Action, International",115452446.02,382845821.99,Netflix
Detour,13+,97.0,Thriller,251904835.81,839162693.41,Netflix
Deviant Love,13+,87.0,Thriller,44452681.03,145412159.75,Netflix
Devil's Bride,18+,108.0,"Drama, International",152203326.39,505746174.11,Netflix
Devil's Gate,18+,94.0,"Horror, Sci-Fi, Thriller",19550383.67,62135212.81,Netflix
Devrai,PG,123.0,"Drama, International",22275547.98,71248563.31,Netflix
Dhamaal,13+,128.0,"Action, Comedy, International",172585889.05,573908463.09,Netflix
Di Renjie zhi Sidatianwang,13+,132.0,"Action, International, Sci-Fi",170239509.04,566061823.05,Netflix
Diana: 7 Days That Shook the World,PG,93.0,Documentary and Educational,263532020.34,878045709.49,Netflix
Diana: In Her Own Words,PG,113.0,"Documentary and Educational, International",167804229.02,557917888.29,Netflix
Diary of a Chambermaid,NR,96.0,"Drama, International",287977515.1,959795041.3,Netflix
Die Another Day,13+,133.0,Action,15559759.67,48789978.92,Netflix
Dil Hai Tumhaara,13+,176.0,"Drama, International, Musicals",30304297.75,98097884.01,Netflix
Dinner for Schmucks,13+,115.0,Comedy,14175692.61,44161454.98,Netflix
Disciples Of The 36th Chamber,13+,90.0,"Action, International",56397778.25,185358322.65,Netflix
Discovering Bigfoot,18+,111.0,Documentary and Educational,162839763.17,541315983.93,Netflix
Dismissed,13+,87.0,Thriller,194026082.25,645607624.21,Netflix
District 9,R,112.0,"Action, International, Sci-Fi",14629962.23,45680599.43,Netflix
Doctor Zhivago,13+,200.0,"Adventure, Drama",283845296.06,945976292.76,Netflix
Dog Eat Dog,18+,93.0,"Drama, Thriller",252807447.62,842181160.11,Netflix
Dolphin Kick,PG,90.0,Family and Children,89687132.16,296682820.91,Netflix
Dolphin Tale 2,PG,107.0,"Drama, Family and Children",24079071.54,77279811.47,Netflix
Domino,R,89.0,"International, Thriller",51796234.89,169970084.51,Netflix
Don Quixote: The Ingenious Gentleman of La Mancha,13+,83.0,"Comedy, Drama",38956379.71,127031719.31,Netflix
Don Verdean,13+,96.0,Comedy,37861850.01,123371450.92,Netflix
Don't Be Afraid of the Dark,R,99.0,Horror,156049944.91,518609832.5,Netflix
Don't Crack Under Pressure,18+,95.0,"Action, Documentary and Educational, International",74508385.31,245922857.75,Netflix
Don't Crack Under Pressure II,18+,88.0,"Action, Documentary and Educational, International",108083775.24,358203902.56,Netflix
Don't Crack Under Pressure III,13+,94.0,"Action, Documentary and Educational, International",296862094.68,989506382.85,Netflix
Don't Knock Twice,R,93.0,"Horror, International",205609960.43,684345817.5,Netflix
Don't Look Down,18+,93.0,"Documentary and Educational, International",284745219.45,948985768.98,Netflix
Don't Think Twice,R,92.0,"Comedy, Drama",43624409.95,142642299.38,Netflix
Donnie Brasco,R,127.0,"Drama, Thriller",115259702.97,382201260.89,Netflix
Doom,R,105.0,"Action, Horror, Sci-Fi",166864809.18,554776330.1,Netflix
Doubles Cause Troubles,13+,94.0,"Action, Comedy, International",23950660.5,76850386.08,Netflix
Doubt,13+,104.0,"Diversity, Drama",2252045.64,4287024.88,Netflix
Down The Fence,PG,94.0,Documentary and Educational,201459865.81,670467290.36,Netflix
Dr. Seuss' The Cat in the Hat,PG,82.0,"Comedy, Family and Children",192904035.52,641855334.85,Netflix
Dr. Seuss' The Grinch,PG,86.0,"Comedy, Family and Children",123825854.19,410847731.12,Netflix
Dragonheart,13+,103.0,"Action, Sci-Fi",147403578.73,489695111.62,Netflix
Dragonheart 3: The Sorcerer,13+,97.0,"Action, Sci-Fi",125217457.18,415501456.29,Netflix
Dragonheart: A New Beginning,PG,84.0,"Action, Sci-Fi",8177508.41,24102644.34,Netflix
Dragonheart: Battle for the Heartfire,13+,98.0,"Action, Sci-Fi",101276110.26,335438069.06,Netflix
Dragonkala Ka Rahasya,G,68.0,Family and Children,53947594.36,177164547.17,Netflix
Dream Big: Engineering Our World,G,42.0,Documentary and Educational,30428832.54,98514346.68,Netflix
Dream Boat,18+,92.0,"Diversity, Documentary and Educational, International",287059409.73,956724761.85,Netflix
Dries,PG,89.0,"Documentary and Educational, International",180208557.79,599399789.07,Netflix
Driven to Dance,NR,99.0,Drama,218868228.99,728683418.61,Netflix
Dukhtar,13+,93.0,"Drama, International",95293759.24,315432206.89,Netflix
Dum,13+,162.0,"Action, Drama, International",118550991.72,393207814.78,Netflix
Dumb and Dumberer: When Harry Met Lloyd,13+,85.0,Comedy,71840274.18,237000301.5,Netflix
E-Cigarettes: Miracle or Menace?,13+,52.0,Documentary and Educational,29992735.62,97055974.4,Netflix
Earth to Echo,PG,91.0,"Family and Children, Sci-Fi",54530459.6,179113734.28,Netflix
East Side Sushi,PG,106.0,Drama,239456699.54,797534293.89,Netflix
Easy A,13+,92.0,"Comedy, Drama",203586195.75,677578050.6,Netflix
Eat Pray Love,13+,140.0,Drama,164531733.92,546974183.1,Netflix
Eddie Murphy: Delirious,18+,69.0,Comedy,143051871.99,475142363.88,Netflix
Eeda,13+,153.0,"Drama, International",276807850.81,922442040.23,Netflix
Eh Janam Tumhare Lekhe,13+,124.0,"Drama, International",22747749.39,72827674.28,Netflix
Ek Cup Chya,PG,120.0,"Drama, International",84899643.16,280672753.16,Netflix
Ek Hasina Thi,18+,134.0,"Drama, International, Thriller",105631418.22,350002859.79,Netflix
El último testigo,R,105.0,Action,234945317.85,782447569.63,Netflix
El Che,13+,119.0,"Documentary and Educational, International",297761871.43,992515368.7,Netflix
El fin de ETA,13+,106.0,"Documentary and Educational, International",72960483.91,240746447.71,Netflix
El Viaje: Márama y Rombai,PG,79.0,"Documentary and Educational, Family and Children, International",262417892.91,874319903.4,Netflix
Elephants Dream 4 Hour,18+,196.0,"International, Sci-Fi",249356205.37,830639698.16,Netflix
Elizabeth at 90: A Family Tribute,G,90.0,Documentary and Educational,68172561.89,224734931.9,Netflix
Elizabeth Harvest,R,109.0,"Drama, Sci-Fi",120400441.48,399392646.94,Netflix
Elles étaient en guerre (1914-1918),13+,93.0,"Documentary and Educational, International",123492187.92,409731902.01,Netflix
Elles étaient en guerre 1939-1945,18+,92.0,"Documentary and Educational, International",293487979.89,978222846.46,Netflix
Elles ont toutes une histoire,PG,49.0,"Documentary and Educational, International",55086678.51,180973812.19,Netflix
Elstree 1976,PG,102.0,Documentary and Educational,239948233.36,799178055.31,Netflix
Emelie,18+,82.0,"Horror, Thriller",100923621.54,334259294.9,Netflix
Emma' (Mother),PG,74.0,"Drama, International",219530233.39,730897258.74,Netflix
Emo the Musical,18+,94.0,"Drama, International, Musicals",126583290.28,420069003.2,Netflix
Empire of Scents,13+,87.0,"Documentary and Educational, International",173929569.17,578401927.14,Netflix
Employee of the Month,13+,108.0,"Comedy, Drama",249950920.22,832628512.15,Netflix
Encounter: The Killing,13+,151.0,"Drama, International",241445503.93,804185148.43,Netflix
End of Watch,R,109.0,Action,260060531.88,866436541.22,Netflix
Enemy,R,91.0,"Drama, Thriller",18825580.28,59711363.61,Netflix
Enlighten Us,13+,93.0,Documentary and Educational,207923115.36,692081347.98,Netflix
Entanglement,18+,85.0,Drama,42856225.64,140073377.98,Netflix
Enter the Dragon,R,103.0,"Action, Adventure",125329751.84,415876986.16,Netflix
Equals,13+,102.0,"Drama, Sci-Fi",165027936.1,548633556.21,Netflix
Equilibrium,R,107.0,"Action, Drama, Sci-Fi",121419105.94,402799210.8,Netflix
"Escape from the ""Liberty"" Cinema",18+,88.0,"Comedy, Drama",156363891.07,519659714.64,Netflix
Esperando La Carroza,NR,95.0,"Comedy, International, Thriller",298961366.33,996526656.17,Netflix
Estar o no estar,13+,100.0,"Drama, International",41429976.8,135303791.98,Netflix
Ethirmarai,13+,91.0,"International, Musicals, Thriller",202961357.56,675488499.73,Netflix
Euphoria,R,110.0,"Diversity, Drama, International",119404288.95,396061366.29,Netflix
Evan Almighty,PG,96.0,"Comedy, Diversity, Family and Children",40769929.87,133096497.93,Netflix
Event Horizon,R,96.0,"Horror, Sci-Fi",48462292.25,158820889.7,Netflix
Every Time I Die,18+,98.0,"Drama, Thriller",284832658.77,949278178.93,Netflix
Everybody Knows,R,133.0,"Drama, International, Thriller",264000847.52,879613536.56,Netflix
Evolution,13+,102.0,"Comedy, Sci-Fi",272205546.16,907051256.22,Netflix
Ex Machina,R,108.0,"Drama, International",297468299.97,991533622.55,Netflix
Executive Decision,R,133.0,Action,63286301.61,208394558.47,Netflix
Exit Afghanistan,18+,58.0,"Documentary and Educational, International",107276361.87,355503793.43,Netflix
Exit Strategy,NR,79.0,"Comedy, Drama",201096489.95,669252108.02,Netflix
Exit Wounds,R,101.0,Action,145656959.42,483854159.61,Netflix
Expo,13+,81.0,"Action, Drama",126098470.48,418447694.42,Netflix
Eyyvah Eyyvah,18+,99.0,"Comedy, International",107985563.55,357875468.21,Netflix
Eyyvah Eyyvah 2,PG,106.0,"Comedy, Drama, International",178540408.95,593821253.88,Netflix
Eyyvah Eyyvah 3,PG,103.0,"Comedy, International",173102435.16,575635869.3,Netflix
F the Prom,18+,92.0,"Comedy, Drama",49275892.39,161541688.28,Netflix
Face 2 Face,18+,89.0,Drama,142050211.42,471792663.53,Netflix
Fakta Ladh Mhana,13+,150.0,"Action, Drama, International",166488061.09,553516429.03,Netflix
Fall Girls,13+,80.0,Comedy,171515794.68,570329910.04,Netflix
Fallen,16+,124.0,Thriller,63822050.68,210186182.19,Netflix
Familiye,18+,99.0,"Drama, International",222939146.28,742297165.11,Netflix
Famous in Ahmedabad,13+,29.0,"Documentary and Educational, International",8534529.35,25296574.91,Netflix
Fanatic,13+,91.0,Thriller,107094724.81,354896372.36,Netflix
Fandry,NR,102.0,"Drama, International",234283581.91,780234627.27,Netflix
Farce,18+,94.0,"Comedy, International",169603983.4,563936531.76,Netflix
Fear and Loathing in Las Vegas,R,118.0,"Comedy, Drama, Thriller",79087567.32,261236316.27,Netflix
Feel Rich,18+,70.0,Documentary and Educational,208790982.68,694983624.03,Netflix
Fiddler on the Roof,G,181.0,"Adventure, Drama, Musicals",170649892.3,567434205.06,Netflix
Fifty,NR,101.0,"Drama, International",239076839.23,796263985.1,Netflix
Figaro Pho,PG,29.0,"Comedy, Family and Children",220772530.67,735051683.67,Netflix
Figures of Speech,PG,92.0,Documentary and Educational,183422268.69,610146911.24,Netflix
Filmworker,18+,94.0,Documentary and Educational,146965124.92,488228857.54,Netflix
Filosofi Kopi The Movie,PG,118.0,"Drama, International",40821455.57,133268807.45,Netflix
Final Destination,R,98.0,"Horror, Thriller",79138572.35,261406884.58,Netflix
Final Destination 2,R,90.0,"Horror, Thriller",126310742.4,419157562.97,Netflix
Final Destination 3,R,93.0,Horror,180190486.81,599339357.08,Netflix
Fire at Sea,13+,114.0,"Documentary and Educational, International",154598648.71,513756484.43,Netflix
Fireflies,18+,99.0,"Drama, International",87167173.26,288255707.51,Netflix
First Impression,13+,96.0,"Comedy, Drama",2932842.98,6563711.35,Netflix
First Kill,R,102.0,Action,149375527.35,496289597.98,Netflix
FirstBorn,18+,90.0,"Horror, International",86402170.58,285697425.96,Netflix
Fishpeople,13+,49.0,"Documentary and Educational, Sports",220647881.91,734634839.88,Netflix
Fishtail,NR,61.0,Documentary and Educational,8159933.32,24043870.64,Netflix
Fittest in Dubai,13+,60.0,"Documentary and Educational, International, Sports",175863515.58,584869328.52,Netflix
Five Elements Ninjas,R,104.0,"Action, International",282500797.01,941480090.08,Netflix
Flash of Genius,13+,119.0,Drama,53148370.87,174491826.18,Netflix
Flimflam,13+,102.0,"Comedy, International",142023197.73,471702325.8,Netflix
Flock of Four,18+,83.0,"Drama, Musicals",28335175.55,91512849.62,Netflix
Flying Guillotine 2,18+,88.0,"Action, International",188078891.77,625719344.07,Netflix
Follow Me,18+,86.0,"Documentary and Educational, International",165608972.5,550576627.43,Netflix
Footprints: The Path of Your Life,PG,90.0,"Diversity, Documentary and Educational, International",122802291.74,407424787.66,Netflix
For Colored Girls,R,134.0,Drama,156891729.42,521424883.77,Netflix
For Grace,PG,92.0,Documentary and Educational,269075822.88,896585001.0,Netflix
For Greater Glory,R,145.0,"Drama, International",59691996.39,196374672.88,Netflix
For Love or Money,18+,95.0,Comedy,7746789.0,22662255.25,Netflix
For the Birds,G,93.0,Documentary and Educational,258637800.53,861678718.21,Netflix
For the Love of Benji,G,84.0,Family and Children,173558007.63,577159370.68,Netflix
Forbidden Games: The Justin Fashanu Story,13+,81.0,"Diversity, Documentary and Educational, International",267306878.18,890669389.62,Netflix
Forbidden Planet,G,98.0,"Action, Adventure, Sci-Fi",179486621.8,596985528.89,Netflix
Forever Chape,18+,74.0,"Documentary and Educational, International, Sports",243238165.9,810180073.85,Netflix
Forever Pure,18+,87.0,"Documentary and Educational, International, Sports",129472335.64,429730396.02,Netflix
Forks Over Knives,PG,96.0,Documentary and Educational,225208119.46,749884945.3,Netflix
Four Christmases,13+,88.0,"Comedy, Drama",273999398.6,913050162.74,Netflix
Four Weddings and a Funeral,R,118.0,"Adventure, Comedy, International",172064766.15,572165751.43,Netflix
Fracture,R,113.0,"Drama, Thriller",55054760.02,180867072.05,Netflix
Frances Ha,R,86.0,"Comedy, Drama",81370486.89,268870735.27,Netflix
Freak Show,18+,91.0,"Comedy, Drama",60394728.49,198724712.44,Netflix
Fred Claus,PG,115.0,"Comedy, Family and Children",74810251.25,246932341.89,Netflix
Free Willy,PG,112.0,"Drama, Family and Children",92618219.36,306484807.81,Netflix
Freeway: Crack in the System,R,103.0,Documentary and Educational,166985002.24,555178273.37,Netflix
Freezer's Campaign,18+,116.0,"Comedy, International",176809497.21,588032830.3,Netflix
French Dirty,18+,72.0,Drama,128523424.43,426557097.27,Netflix
Freshman Year,PG,104.0,"Diversity, Drama",185010813.17,615459237.74,Netflix
Friday the 13th,R,97.0,Horror,25390902.76,81666768.12,Netflix
Friend Request,R,92.0,"Horror, International",27248682.88,87879458.23,Netflix
From Japan to Egypt,13+,93.0,"Comedy, Drama, Family and Children",52377008.65,171912277.41,Netflix
From Paris with Love,R,93.0,"Action, International",155905171.91,518125690.29,Netflix
Froning: The Fittest Man in History,PG,99.0,"Documentary and Educational, International, Sports",64984408.93,214073279.23,Netflix
Frozen River,R,97.0,Drama,243747971.08,811884937.4,Netflix
Full Out,PG,88.0,"Drama, Family and Children, Sports",5144778.64,13960749.7,Netflix
Functional Fitness,18+,106.0,Documentary and Educational,195164267.25,649413882.35,Netflix
Furie,18+,97.0,"Action, Drama, International",200994082.78,668909643.39,Netflix
Furthest Witness,18+,88.0,"Drama, Thriller",239798078.33,798675914.78,Netflix
G-Force,PG,88.0,"Comedy, Family and Children",279893128.78,932759663.77,Netflix
Gabriel and the Mountain,18+,132.0,"Drama, International",7021216.84,20235835.16,Netflix
Gagarin: First in Space,13+,108.0,"Drama, International",46981327.95,153868327.14,Netflix
Galih dan Ratna,PG,111.0,"Drama, International",265965216.92,886182676.93,Netflix
Gangs of New York,R,167.0,Drama,138097050.09,458572710.33,Netflix
Garuda Di Dadaku,PG,96.0,"Drama, Family and Children, Sports",169812601.04,564634179.87,Netflix
Garuda in My Heart 2,PG,95.0,"Drama, Family and Children, Sports",199245133.91,663060901.0,Netflix
Gehenna: Where Death Lives,18+,107.0,"Horror, Thriller",204040914.74,679098697.84,Netflix
Gelo,13+,118.0,"Drama, International",279590380.59,931747229.28,Netflix
Gemini,PG,130.0,Drama,299087875.81,996949722.47,Netflix
Gender Revolution: A Journey with Katie Couric,PG,90.0,"Diversity, Documentary and Educational",216327080.82,720185445.18,Netflix
George of the Jungle 2,PG,87.0,"Comedy, Family and Children",86879141.55,287292487.08,Netflix
Get Him to the Greek,R,109.0,"Comedy, Musicals",264045968.29,879764427.05,Netflix
Get Santa,PG,103.0,"Comedy, Family and Children",15717053.45,49315992.45,Netflix
Get Smart,13+,110.0,"Action, Comedy",70093175.01,231157744.79,Netflix
Getting Played,13+,85.0,"Comedy, Drama",269318329.52,897395978.89,Netflix
Ghayal,13+,163.0,"Action, Drama, International",77601262.82,256265895.29,Netflix
Ghost House,18+,100.0,Horror,66974666.83,220728994.52,Netflix
Ghost Pain,18+,58.0,"Action, Animation, International",42299462.65,138211480.61,Netflix
Ghost Rider,13+,110.0,"Action, Sci-Fi",257874415.54,859125846.47,Netflix
Ghost Tears,18+,58.0,"Action, Animation, International",150517419.5,500108253.37,Netflix
Ghost Whispers,13+,56.0,"Action, Animation, International",202793067.71,674925713.73,Netflix
Ghulam-E-Musthafa,18+,161.0,"Action, Drama, International",72480848.84,239142477.44,Netflix
Gie,13+,141.0,"Drama, International",227654085.88,758064616.97,Netflix
Gigi,G,115.0,"Adventure, Comedy, Musicals",228241657.94,760029544.41,Netflix
Ginger & Rosa,13+,90.0,Drama,94466809.45,312666765.11,Netflix
"Girl, Boy, Bakla, Tomboy",13+,103.0,"Comedy, International",123794107.27,410741564.75,Netflix
GLOW: The Story of the Gorgeous Ladies of Wrestling,NR,77.0,"Documentary and Educational, Sports",63697392.95,209769308.4,Netflix
God Bless the Broken Road,PG,111.0,"Diversity, Drama, Family and Children",292991745.97,976563367.22,Netflix
God Knows Where I Am,PG,103.0,Documentary and Educational,194035170.54,645638016.8,Netflix
God of War,NR,129.0,"Action, International",280428620.33,934550426.33,Netflix
God's Not Dead,PG,113.0,"Diversity, Drama",91712277.55,303455205.07,Netflix
God's Not Dead: A Light in Darkness,PG,106.0,"Diversity, Drama",234785382.99,781912723.91,Netflix
God's Own Country,18+,105.0,"Drama, International",229991734.52,765882058.02,Netflix
Gol Maal,PG,137.0,"Adventure, Comedy, International",207805039.91,691686486.3,Netflix
Golden Time,G,22.0,"International, Sci-Fi",289726053.6,965642411.37,Netflix
GoldenEye,13+,130.0,Action,118673045.5,393615980.57,Netflix
Goldie,18+,89.0,Drama,40084479.75,130804251.86,Netflix
Goldstone,18+,110.0,Thriller,201840948.91,671741688.36,Netflix
Golmaal: Fun Unlimited,13+,148.0,"Comedy, International",219063630.34,729336869.5,Netflix
Gone are the Days,R,100.0,Drama,172943111.46,575103067.4,Netflix
Good Kids,R,90.0,"Comedy, Drama",62838550.05,206897211.34,Netflix
Good Kill,R,103.0,Drama,151832326.56,504505496.08,Netflix
Good Kisser,18+,75.0,"Comedy, Drama",94344731.23,312258517.6,Netflix
Good Luck,18+,99.0,"Drama, International",128812491.92,427523781.51,Netflix
"Good Night, and Good Luck",PG,93.0,Drama,193920354.18,645254053.99,Netflix
Good People,R,90.0,"Action, Thriller",223819208.06,745240221.22,Netflix
GoodFellas,R,145.0,"Adventure, Drama",70435182.58,232301468.43,Netflix
Gook,18+,95.0,Drama,122192282.83,405384828.11,Netflix
Goon,R,92.0,"Comedy, Sports",81479309.73,269234654.83,Netflix
Goosebumps 2: Haunted Halloween,PG,90.0,"Comedy, Family and Children",60390852.54,198711750.7,Netflix
Gosford Park,R,137.0,"Comedy, Drama, International",235232778.78,783408881.27,Netflix
Gothika,R,98.0,"Horror, Thriller",272866555.64,909261769.17,Netflix
Gour Hari Dastaan: The Freedom File,13+,109.0,"Drama, International",111699423.52,370295162.47,Netflix
Gran Torino,R,117.0,Drama,225632398.39,751303796.48,Netflix
Grand Masti,18+,93.0,"Comedy, International, Musicals",269201591.52,897005589.84,Netflix
Grass,18+,57.0,"Comedy, Drama",253991138.95,846139598.11,Netflix
Grease,PG,110.0,"Adventure, Comedy, Musicals",55661203.17,182895107.2,Netflix
Green Room,R,95.0,"Horror, Thriller",286931272.57,956296252.33,Netflix
Green White Green (And All the Beautiful Colours in My Mosaic of Madness),18+,102.0,"Comedy, Drama, International",113626255.69,376738772.79,Netflix
Gringo: The Dangerous Life of John McAfee,18+,97.0,Documentary and Educational,102432957.69,339306737.11,Netflix
Growing Up Coy,PG,82.0,"Diversity, Documentary and Educational",19666966.86,62525084.15,Netflix
Gun Runners,PG,90.0,"Documentary and Educational, International, Sports",146365922.58,486225036.74,Netflix
Guy Martin: Last Flight of the Vulcan Bomber,G,57.0,"Documentary and Educational, International",33595071.08,109102714.28,Netflix
Héroes,18+,91.0,"Comedy, International",75313406.46,248614966.95,Netflix
Hükümet Kadin,18+,100.0,"Comedy, International",95765843.91,317010927.51,Netflix
Hükümet Kadin 2,13+,101.0,"Comedy, International",242839070.72,808845440.86,Netflix
Haapus,13+,138.0,"Comedy, Drama, International",262771106.47,875501101.53,Netflix
Hadi İnşallah,13+,95.0,"Comedy, Drama, International",91437428.92,302536070.83,Netflix
Hairspray,PG,116.0,"Comedy, Family and Children, Musicals",257750738.25,858712251.43,Netflix
HALO Legends,13+,117.0,"Action, Animation, Sci-Fi",257312050.27,857245214.28,Netflix
Halo: The Fall of Reach,13+,65.0,"Action, Sci-Fi",229630634.17,764674485.29,Netflix
Hamara Dil Aapke Paas Hai,13+,158.0,"Drama, International, Musicals",44861839.09,146780444.5,Netflix
Hamburger Hill,R,110.0,"Action, Drama",207406531.22,690353814.62,Netflix
Hamza's Suitcase,13+,79.0,"Comedy, International",283562195.31,945029562.17,Netflix
Hangman,R,99.0,Thriller,205079603.15,682572224.72,Netflix
Hank: Five Years from the Brink,13+,86.0,Documentary and Educational,100153437.88,331683687.42,Netflix
Hans Zimmer: Live in Prague,G,138.0,"International, Musicals",150673215.91,500629259.5,Netflix
Happy Hunting,18+,91.0,"Drama, Horror",194071787.96,645760470.85,Netflix
Happy Times,NR,79.0,"Comedy, Drama, International",153660552.21,510619351.69,Netflix
Hard Tide,18+,79.0,Drama,36865929.58,120040946.44,Netflix
Hardcore Henry,R,96.0,"Action, International, Sci-Fi",94307149.35,312132838.25,Netflix
Harlem Globetrotters: The Team That Changed the World,13+,55.0,"Documentary and Educational, Sports",240916413.14,802415790.95,Netflix
Harold & Kumar Escape from Guantanamo Bay,R,101.0,"Comedy, Thriller",258563995.78,861431904.29,Netflix
Harold & Kumar Go to White Castle,R,88.0,"Comedy, Thriller",42052709.78,137386302.71,Netflix
Harold and Lillian: A Hollywood Love Story,13+,95.0,Documentary and Educational,285763638.97,952391513.72,Netflix
Harriet the Spy: Blog Wars,G,87.0,"Comedy, Family and Children",99317962.74,328889735.59,Netflix
Harry and Snowman,PG,83.0,"Documentary and Educational, Sports",199031807.88,662347507.36,Netflix
Harry Benson: Shoot First,NR,90.0,Documentary and Educational,225795718.64,751849963.44,Netflix
Haseena Maan Jaayegi,13+,151.0,"Action, Comedy, Drama",243771924.16,811965040.01,Netflix
Haunters: The Art of the Scare,18+,89.0,"Documentary and Educational, Horror",283779160.97,945755127.26,Netflix
Haunting on Fraternity Row,18+,99.0,"Drama, Horror",94562944.86,312988256.07,Netflix
Have You Seen the Listers?,18+,86.0,"Documentary and Educational, International",257693429.91,858520603.91,Netflix
Havenhurst,18+,85.0,"Horror, Thriller",40374384.13,131773734.75,Netflix
Haywire,R,93.0,Action,211807231.0,705070402.26,Netflix
He Named Me Malala,13+,89.0,Documentary and Educational,222851341.12,742003531.74,Netflix
He's Out There,R,89.0,"Horror, Thriller",203639249.12,677755468.88,Netflix
Head Count,16+,90.0,"Drama, Horror",76442106.1,252389504.66,Netflix
Head On,18+,104.0,"Diversity, Drama",262039900.96,873055842.7,Netflix
Heal,18+,107.0,Documentary and Educational,51488680.55,168941577.52,Netflix
Heartbreakers,13+,124.0,"Comedy, Drama",17036802.66,53729428.04,Netflix
Heartthrob,18+,87.0,Thriller,215522032.19,717493244.11,Netflix
Hedgehogs,PG,94.0,Family and Children,143167238.85,475528167.66,Netflix
Hell and Back,R,86.0,"Action, Comedy, Drama",254880307.97,849113110.16,Netflix
Hell or High Water,R,102.0,Drama,115635745.18,383458801.34,Netflix
Hellboy,13+,122.0,"Action, Sci-Fi, Thriller",51315297.96,168361760.65,Netflix
Her,R,126.0,"Drama, Sci-Fi",251096215.55,836458548.25,Netflix
Her Only Choice,13+,87.0,Drama,165123979.86,548954740.68,Netflix
Hera Pheri,13+,156.0,"Action, Comedy, Drama",57569541.92,189276872.81,Netflix
Here Alone,18+,97.0,Horror,216394815.58,720411960.19,Netflix
Hero,16+,89.0,"Action, International",153822977.91,511162527.13,Netflix
Hickok,18+,88.0,Action,181689581.69,604352550.94,Netflix
Hide & Seek,13+,96.0,"Horror, International, Thriller",138808603.12,460952248.37,Netflix
Hide and Seek,R,104.0,"International, Thriller",248783986.16,828726112.92,Netflix
